,Año,Clave_Ent,Cve. Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
312,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0
313,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0
316,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0
319,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,3,28,0,0,1,0,0,1,0,0,0,0,1,0
326,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0
329,0,0,3,37,0,0,0,0,0,0,0,0,1,0,0,0
330,0,0,3,36,0,1,0,0,0,0,0,0,0,0,0,0
331,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,3,29,0,1,0,0,0,0,0,4,1,1,0,0
333,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
334,0,0,3,32,1,3,5,0,1,1,0,0,2,4,2,0
335,0,0,3,32,0,0,0,0,0,0,0,0,1,0,0,0
336,0,0,3,32,0,0,0,0,0,0,0,1,0,0,0,0
337,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
338,0,0,3,32,0,0,0,0,0,0,0,1,0,2,1,0
339,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
341,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,3,32,1,0,0,0,0,0,1,0,0,0,0,0
343,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0,3,32,2,1,2,0,0,0,0,1,0,1,2,0
347,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,3,32,0,0,0,0,0,1,0,0,0,0,0,0
354,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
356,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,3,32,1,3,0,2,0,2,3,1,1,1,1,0
359,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,3,32,1,0,0,0,0,0,1,2,0,3,2,1
361,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
363,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
364,0,0,3,32,0,0,0,0,0,1,0,0,0,0,0,0
365,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
366,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0
367,0,0,3,32,0,0,0,0,0,2,0,0,0,0,0,0
368,0,0,3,32,2,4,4,3,2,5,2,0,6,2,2,3
369,0,0,3,17,0,0,1,0,0,0,0,0,1,1,0,0
370,0,0,3,1,0,1,0,0,0,1,1,0,0,0,0,0
371,0,0,3,13,0,0,1,1,1,0,0,0,0,0,0,0
372,0,0,3,8,3,0,3,1,1,7,2,2,1,3,0,3
373,0,0,3,10,0,0,0,0,0,1,0,0,0,0,0,0
374,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0
375,0,0,3,39,1,0,1,1,3,2,3,0,0,2,3,1
376,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0
379,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
380,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0
382,0,0,3,23,0,3,1,0,3,2,0,0,0,1,0,0
383,0,0,3,5,1,0,0,2,3,0,2,0,3,2,1,0
384,0,0,3,4,0,0,0,0,0,0,1,1,0,0,0,1
385,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0
386,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0
387,0,0,3,15,3,4,4,1,2,1,1,2,5,2,2,1
388,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,3,27,0,1,0,0,0,1,2,0,0,1,1,0
392,0,0,4,18,0,0,0,0,2,0,1,0,0,0,0,0
393,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0
394,0,0,4,18,0,0,1,0,0,0,0,0,0,0,1,0
395,0,0,4,18,0,0,0,0,0,0,1,0,0,0,0,0
